session_id,condition,session_started,page,entered_at,duration_ms,click_count
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,overview,2026-06-30T20:57:58.908Z,5025,2
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int1,2026-06-30T20:58:03.933Z,1063,1
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int1-task-img-1,2026-06-30T20:58:04.996Z,3236,6
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int1-task-img-2,2026-06-30T20:58:08.233Z,1870,5
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int1-task-img-3,2026-06-30T20:58:10.103Z,1158,1
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int5,2026-06-30T20:58:11.261Z,0,0
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int5-train-1,2026-06-30T20:58:11.262Z,0,0
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int5-train-1,2026-06-30T20:58:11.262Z,2143,2
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int5-train-2,2026-06-30T20:58:13.405Z,1170,2
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int5-train-3,2026-06-30T20:58:14.575Z,1517,3
70b13d22-b0c3-41f2-a987-558608fd28d2,demo,2026-06-30T13:57:58.923128,int5-train-4,2026-06-30T20:58:16.092Z,1582,2
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,overview,2026-06-30T20:59:27.022Z,2917,1
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control,2026-06-30T20:59:29.940Z,14287,1
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-1,2026-06-30T20:59:44.227Z,9432,5
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-2,2026-06-30T20:59:53.659Z,8590,4
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-3,2026-06-30T21:00:02.250Z,7640,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-4,2026-06-30T21:00:09.890Z,5272,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-5,2026-06-30T21:00:15.162Z,4528,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-6,2026-06-30T21:00:19.690Z,2855,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-7,2026-06-30T21:00:22.545Z,4538,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-8,2026-06-30T21:00:27.084Z,2948,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-9,2026-06-30T21:00:30.032Z,4800,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-10,2026-06-30T21:00:34.832Z,2564,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-11,2026-06-30T21:00:37.397Z,3865,5
